product_category_name,review_score,order_item_id,customer_city
moveis_escritorio,5,1,nova iguacu
papelaria,4,1,salvador
automotivo,4,1,cabo frio
pet_shop,5,1,biritiba-mirim
relogios_presentes,4,1,sao paulo
perfumaria,5,1,salvador
Unknown,5,1,rio de janeiro
esporte_lazer,5,1,luziania
informatica_acessorios,5,1,sao paulo
bebes,5,1,santos
bebes,5,2,santos
bebes,5,3,santos
bebes,5,4,santos
beleza_saude,5,1,uniao de minas
telefonia,5,1,fortaleza
telefonia,4,1,guarulhos
informatica_acessorios,1,1,aparecida de goiania
cool_stuff,4,1,marilia
cama_mesa_banho,5,1,sao paulo
beleza_saude,5,1,miracema
beleza_saude,5,2,miracema
ferramentas_jardim,4,1,campinas
dvds_blu_ray,4,1,campo grande
eletronicos,5,1,brasilia
bebes,5,1,natal
relogios_presentes,1,1,avelar
climatizacao,4,1,alto horizonte
climatizacao,4,2,alto horizonte
cama_mesa_banho,3,1,rio de janeiro
brinquedos,5,1,nova iguacu
moveis_decoracao,3,1,belo horizonte
pet_shop,5,1,curitiba
livros_interesse_geral,5,1,nova iguacu
esporte_lazer,5,1,sao paulo
livros_interesse_geral,5,1,imbituba
automotivo,5,1,belo horizonte
sinalizacao_e_seguranca,1,1,santo andre
sinalizacao_e_seguranca,1,2,santo andre
cama_mesa_banho,5,1,curitiba
cama_mesa_banho,5,1,sao paulo
moveis_sala,5,2,sao paulo
papelaria,4,1,carapicuiba
beleza_saude,5,1,maua
telefonia,4,1,joinville
esporte_lazer,4,1,belo horizonte
cama_mesa_banho,5,1,araraquara
informatica_acessorios,2,1,anta gorda
moveis_escritorio,5,1,sao paulo
beleza_saude,5,1,presidente epitacio
alimentos_bebidas,3,1,sao domingos
telefonia,5,1,porto alegre
utilidades_domesticas,4,1,matias olimpio
utilidades_domesticas,4,2,matias olimpio
utilidades_domesticas,4,3,matias olimpio
utilidades_domesticas,4,4,matias olimpio
utilidades_domesticas,4,5,matias olimpio
pet_shop,3,1,rio bonito
automotivo,5,1,rio de janeiro
alimentos,5,1,sao paulo
telefonia,5,1,guarda-mor
cama_mesa_banho,5,1,sao paulo
Unknown,5,1,belo horizonte
artes,4,1,volta redonda
utilidades_domesticas,5,1,rio de janeiro
fashion_calcados,5,1,conselheiro lafaiete
cama_mesa_banho,5,1,sao jose dos pinhais
ferramentas_jardim,4,1,indaiatuba
ferramentas_jardim,5,1,arcos
ferramentas_jardim,5,1,campo mourao
brinquedos,5,1,sao paulo
informatica_acessorios,3,1,bebedouro
moveis_decoracao,1,1,belo horizonte
moveis_decoracao,1,2,belo horizonte
moveis_decoracao,1,3,belo horizonte
bebes,5,1,santo andre
eletronicos,4,1,sao paulo
automotivo,4,1,paulinia
telefonia,2,1,sao paulo
brinquedos,5,1,lauro de freitas
beleza_saude,4,1,osasco
utilidades_domesticas,5,1,aracatuba
moveis_decoracao,4,1,nova odessa
brinquedos,5,1,sao luis
relogios_presentes,5,1,catanduva
fashion_underwear_e_moda_praia,4,1,sao paulo
utilidades_domesticas,3,1,taboao da serra
cama_mesa_banho,5,1,botucatu
cama_mesa_banho,5,1,clementina
utilidades_domesticas,5,1,belo horizonte
utilidades_domesticas,1,1,salvador
beleza_saude,5,1,blumenau
automotivo,3,1,curitiba
cama_mesa_banho,5,1,manhumirim
beleza_saude,1,1,salvador
utilidades_domesticas,5,1,sao paulo
moveis_decoracao,5,1,sao paulo
moveis_decoracao,5,1,mage
pet_shop,5,1,sao paulo
esporte_lazer,5,1,mato verde
bebes,5,1,gravatai
esporte_lazer,5,1,uberlandia
cool_stuff,5,1,cubatao
telefonia,5,1,itaquaquecetuba
cama_mesa_banho,4,1,sao paulo
beleza_saude,1,1,niteroi
automotivo,4,1,ferraz de vasconcelos
utilidades_domesticas,4,1,sao paulo
brinquedos,5,1,porto alegre
bebes,5,1,crato
utilidades_domesticas,5,1,osasco
beleza_saude,5,1,sao paulo
papelaria,5,1,petropolis
malas_acessorios,5,1,belo horizonte
beleza_saude,5,1,rio de janeiro
beleza_saude,5,1,rio de janeiro
beleza_saude,5,1,torres
cama_mesa_banho,4,1,sao paulo
esporte_lazer,5,1,lagoa santa
ferramentas_jardim,4,1,sao paulo
utilidades_domesticas,2,1,sao paulo
beleza_saude,5,1,jau
esporte_lazer,5,1,sao paulo
relogios_presentes,5,2,sao paulo
automotivo,5,1,sao paulo
cool_stuff,5,1,rio de janeiro
perfumaria,5,1,itapecerica da serra
beleza_saude,5,1,rio de janeiro
relogios_presentes,3,1,campinas
pc_gamer,4,1,gravata
ferramentas_jardim,3,1,rio de janeiro
moveis_decoracao,3,2,rio de janeiro
telefonia_fixa,5,1,capao da canoa
utilidades_domesticas,5,1,gastao vidigal
cama_mesa_banho,5,1,contagem
ferramentas_jardim,4,1,guaratingueta
construcao_ferramentas_construcao,4,1,ourinhos
cool_stuff,5,1,itaquaquecetuba
beleza_saude,4,1,sao jorge do oeste
esporte_lazer,4,1,sorocaba
cool_stuff,3,1,duque de caxias
perfumaria,5,1,belem
beleza_saude,4,1,campinas
industria_comercio_e_negocios,5,1,rio de janeiro
industria_comercio_e_negocios,5,2,rio de janeiro
livros_interesse_geral,1,1,porto alegre
utilidades_domesticas,5,1,joinville
moveis_escritorio,5,1,caieiras
esporte_lazer,4,1,sao sebastiao
papelaria,4,1,nova friburgo
moveis_escritorio,3,1,belo horizonte
Unknown,4,1,alvorada
utilidades_domesticas,5,1,sao paulo
cama_mesa_banho,5,1,sao paulo
moveis_decoracao,4,1,porto alegre
beleza_saude,3,1,sao paulo
beleza_saude,4,1,olinda
papelaria,5,1,sao paulo
moveis_decoracao,5,1,parnamirim
informatica_acessorios,5,1,guarulhos
informatica_acessorios,5,2,guarulhos
papelaria,4,1,araucaria
papelaria,5,1,goiania
automotivo,5,1,sao paulo
fashion_calcados,5,1,barreiras
consoles_games,5,1,maua
esporte_lazer,5,1,catanduva
bebidas,5,1,videira
beleza_saude,4,1,laranjal paulista
moveis_decoracao,5,1,icara
moveis_decoracao,5,2,icara
eletronicos,5,1,campinas
informatica_acessorios,5,1,sao paulo
informatica_acessorios,5,2,sao paulo
cool_stuff,4,1,progresso
perfumaria,1,1,mossoro
esporte_lazer,5,1,sao goncalo
beleza_saude,5,1,cubatao
brinquedos,5,1,aracaju
utilidades_domesticas,5,1,rio de janeiro
alimentos_bebidas,3,1,brasilia
beleza_saude,3,1,cachoeiro de itapemirim
relogios_presentes,1,1,salvador
relogios_presentes,1,1,salvador
beleza_saude,4,1,guarulhos
beleza_saude,5,1,guarulhos
ferramentas_jardim,5,1,sao paulo
moveis_decoracao,5,1,sao paulo
utilidades_domesticas,5,1,osasco
pet_shop,5,1,sao paulo
perfumaria,5,1,sao vicente
cama_mesa_banho,3,1,barueri
automotivo,1,1,jaboatao dos guararapes
papelaria,5,1,taboao da serra
Unknown,4,1,abaete
informatica_acessorios,5,1,belo horizonte
relogios_presentes,3,1,jaragua do sul
informatica_acessorios,5,1,goiania
esporte_lazer,5,1,vila velha
esporte_lazer,4,1,sao paulo
automotivo,1,1,camacari
moveis_decoracao,5,1,niteroi
relogios_presentes,3,1,esteio
brinquedos,5,1,sao paulo
beleza_saude,5,1,sao paulo
telefonia,1,1,lagarto
cool_stuff,5,1,fortaleza
automotivo,5,1,paulo afonso
cama_mesa_banho,5,1,sao paulo
perfumaria,2,1,guaranesia
utilidades_domesticas,5,1,mairipora
utilidades_domesticas,5,1,barreirinhas
relogios_presentes,2,1,campo grande
relogios_presentes,2,2,campo grande
beleza_saude,4,1,goiania
sinalizacao_e_seguranca,5,1,rio de janeiro
sinalizacao_e_seguranca,5,2,rio de janeiro
beleza_saude,4,1,sao paulo
livros_importados,5,1,sao paulo
livros_importados,5,2,sao paulo
telefonia,1,1,sao paulo
beleza_saude,5,1,sao caetano do sul
Unknown,4,1,jaboatao dos guararapes
perfumaria,3,1,araruama
automotivo,4,1,taquaritinga
automotivo,4,2,taquaritinga
casa_construcao,3,1,sao paulo
casa_construcao,3,2,sao paulo
telefonia,2,1,sao paulo
ferramentas_jardim,5,1,porto alegre
beleza_saude,5,1,turvolandia
artigos_de_natal,5,1,nova iguacu
artigos_de_natal,5,2,nova iguacu
relogios_presentes,4,1,joao pessoa
informatica_acessorios,5,1,canoas
cama_mesa_banho,1,1,teixeiras
moveis_decoracao,1,1,sao paulo
moveis_decoracao,1,2,sao paulo
moveis_decoracao,1,3,sao paulo
moveis_decoracao,1,4,sao paulo
moveis_decoracao,1,5,sao paulo
moveis_decoracao,1,6,sao paulo
instrumentos_musicais,5,1,casimiro de abreu
moveis_sala,4,1,angra dos reis
relogios_presentes,3,1,campinas
informatica_acessorios,1,1,para de minas
informatica_acessorios,1,2,para de minas
moveis_decoracao,5,1,brasilia
relogios_presentes,4,1,salto do itarare
construcao_ferramentas_construcao,4,1,catanduva
construcao_ferramentas_construcao,4,2,catanduva
beleza_saude,2,1,jarinu
cama_mesa_banho,5,1,rio de janeiro
eletronicos,5,1,jundiai
esporte_lazer,3,1,duque de caxias
eletronicos,5,1,rio de janeiro
cool_stuff,5,1,brasilia
bebes,5,1,sao paulo
beleza_saude,5,1,paraguacu paulista
papelaria,5,1,londrina
ferramentas_jardim,5,1,osasco
alimentos,5,1,pirai do sul
cool_stuff,4,1,fortaleza
cool_stuff,4,2,fortaleza
informatica_acessorios,4,1,catanduva
relogios_presentes,3,1,ipatinga
relogios_presentes,3,2,ipatinga
relogios_presentes,4,1,foz do iguacu
construcao_ferramentas_construcao,5,1,betim
informatica_acessorios,5,1,sao caetano do sul
bebes,5,1,sao luis
brinquedos,1,1,sapucaia
pet_shop,5,1,sao paulo
moveis_decoracao,5,1,belo horizonte
moveis_decoracao,5,2,belo horizonte
eletrodomesticos,5,1,sao paulo
esporte_lazer,5,1,guanhaes
automotivo,4,1,marica
bebes,4,1,santa luzia
moveis_escritorio,2,1,jundiai
utilidades_domesticas,1,1,ubatuba
pet_shop,1,1,sao bernardo do campo
cama_mesa_banho,5,1,cotia
cama_mesa_banho,5,2,cotia
beleza_saude,1,1,colatina
ferramentas_jardim,5,1,brasilia
cama_mesa_banho,3,1,praia grande
cama_mesa_banho,3,2,praia grande
beleza_saude,1,1,porto alegre
utilidades_domesticas,4,1,rio grande
esporte_lazer,2,1,cacequi
cama_mesa_banho,5,1,rio de janeiro
cama_mesa_banho,5,2,rio de janeiro
cama_mesa_banho,5,3,rio de janeiro
fashion_bolsas_e_acessorios,5,1,santos
instrumentos_musicais,4,1,sao bernardo do campo
moveis_decoracao,5,1,jundiai
moveis_decoracao,3,1,sao jose dos campos
moveis_decoracao,3,1,nova iguacu
bebes,3,1,bonito
cama_mesa_banho,5,1,barueri
cool_stuff,1,1,rio de janeiro
relogios_presentes,1,1,diadema
beleza_saude,5,1,sao paulo
ferramentas_jardim,5,1,sao paulo
informatica_acessorios,5,1,toledo
automotivo,5,1,jundiai
automotivo,5,1,curitiba
casa_construcao,5,1,sao paulo
utilidades_domesticas,5,1,sao paulo
telefonia,1,1,para de minas
cama_mesa_banho,5,1,brasilia
relogios_presentes,5,1,sao paulo
informatica_acessorios,1,1,sao bernardo do campo
informatica_acessorios,1,2,sao bernardo do campo
utilidades_domesticas,5,1,guarulhos
utilidades_domesticas,5,2,guarulhos
beleza_saude,5,1,luziania
utilidades_domesticas,5,1,eloi mendes
perfumaria,5,1,araruna
bebes,5,1,sapucai-mirim
beleza_saude,5,1,alfenas
utilidades_domesticas,5,1,diadema
automotivo,5,1,belo horizonte
dvds_blu_ray,4,1,alto alegre do iguacu
esporte_lazer,5,1,belo horizonte
cama_mesa_banho,5,1,campos dos goytacazes
perfumaria,5,1,belo horizonte
perfumaria,5,2,belo horizonte
fashion_bolsas_e_acessorios,1,1,sao paulo
ferramentas_jardim,1,1,cachoeiro de itapemirim
ferramentas_jardim,1,2,cachoeiro de itapemirim
perfumaria,1,1,cabo frio
esporte_lazer,4,1,americo brasiliense
cama_mesa_banho,4,1,serrana
cool_stuff,4,1,rio de janeiro
construcao_ferramentas_construcao,5,1,sao paulo
construcao_ferramentas_construcao,5,2,sao paulo
construcao_ferramentas_construcao,5,3,sao paulo
construcao_ferramentas_construcao,5,4,sao paulo
utilidades_domesticas,5,1,barroso
papelaria,5,1,rio de janeiro
relogios_presentes,5,1,olinda
brinquedos,5,1,vinhedo
esporte_lazer,5,1,campo verde
beleza_saude,5,1,sao paulo
automotivo,4,1,sao paulo
utilidades_domesticas,1,1,carangola
utilidades_domesticas,1,2,carangola
beleza_saude,5,1,manhuacu
relogios_presentes,5,1,sao goncalo do amarante
moveis_decoracao,3,1,sao paulo
papelaria,5,1,brasilia
telefonia,5,1,vitoria
consoles_games,1,1,curitiba
pet_shop,1,1,sao paulo
ferramentas_jardim,5,1,lauro de freitas
utilidades_domesticas,5,1,belo horizonte
informatica_acessorios,5,1,sao miguel dos campos
informatica_acessorios,5,2,sao miguel dos campos
informatica_acessorios,5,3,sao miguel dos campos
informatica_acessorios,5,4,sao miguel dos campos
pet_shop,5,1,vitoria
pet_shop,5,2,vitoria
pet_shop,5,3,vitoria
brinquedos,5,1,canoas
fashion_bolsas_e_acessorios,5,1,porto alegre
beleza_saude,5,1,sao paulo
esporte_lazer,4,1,escada
papelaria,5,1,brasilia
papelaria,5,2,brasilia
utilidades_domesticas,1,1,rio de janeiro
moveis_decoracao,1,1,quatro barras
informatica_acessorios,2,1,uberaba
informatica_acessorios,2,2,uberaba
automotivo,1,1,alvorada
cama_mesa_banho,5,1,ilhabela
beleza_saude,5,1,icara
eletrodomesticos,5,1,campina grande
informatica_acessorios,5,1,bastos
esporte_lazer,4,1,rio grande
audio,5,1,embu das artes
brinquedos,5,1,sao bernardo do campo
Unknown,5,1,sao paulo
cama_mesa_banho,5,1,sao paulo
automotivo,4,1,lorena
utilidades_domesticas,1,1,porto alegre
eletroportateis,2,1,brasilia
automotivo,5,1,crato
relogios_presentes,5,1,guarapari
construcao_ferramentas_seguranca,5,1,cristinapolis
moveis_decoracao,5,1,itu
cama_mesa_banho,4,1,rio de janeiro
cama_mesa_banho,4,2,rio de janeiro
cama_mesa_banho,4,1,rio de janeiro
perfumaria,5,1,fazenda rio grande
portateis_casa_forno_e_cafe,5,1,caxias do sul
telefonia,5,1,parnamirim
cama_mesa_banho,4,1,jacarei
dvds_blu_ray,4,1,jacutinga
cama_mesa_banho,5,1,santana de parnaiba
bebes,5,1,goiania
consoles_games,3,1,sorocaba
bebes,3,1,santana de parnaiba
automotivo,5,1,balneario gaivota
esporte_lazer,5,1,sao paulo
telefonia,5,1,campos dos goytacazes
brinquedos,4,1,casa nova
utilidades_domesticas,5,1,rio de janeiro
informatica_acessorios,1,1,salvador
alimentos_bebidas,3,1,brasilia
eletronicos,5,1,porto alegre
moveis_decoracao,4,1,sao paulo
construcao_ferramentas_ferramentas,1,1,sabara
esporte_lazer,5,1,matozinhos
utilidades_domesticas,5,1,olinda
automotivo,1,1,vila velha
automotivo,1,2,vila velha
relogios_presentes,1,1,tucuma
moveis_decoracao,5,1,rio de janeiro
beleza_saude,5,1,guaratinga
beleza_saude,5,1,aracaju
automotivo,4,1,santana do livramento
automotivo,5,1,itaguai
eletrodomesticos,5,1,sao goncalo do rio preto
eletronicos,1,1,piumhii
fashion_calcados,5,1,conquista
fashion_calcados,5,1,conquista
utilidades_domesticas,5,1,cambui
cama_mesa_banho,1,1,sao paulo
moveis_decoracao,5,1,piracicaba
bebes,5,1,rio de janeiro
cool_stuff,5,1,sao luis
papelaria,5,1,santa barbara d'oeste
fashion_bolsas_e_acessorios,4,1,jundiai
fashion_bolsas_e_acessorios,4,2,jundiai
cool_stuff,4,1,sao paulo
eletrodomesticos,4,1,cruz alta
casa_construcao,2,1,aracatuba
moveis_decoracao,5,1,vila velha
esporte_lazer,5,1,tupaciguara
bebes,1,1,barbacena
cama_mesa_banho,1,2,barbacena
relogios_presentes,5,1,curitiba
instrumentos_musicais,5,1,sao paulo
telefonia,5,1,sao paulo
utilidades_domesticas,5,1,belo horizonte
malas_acessorios,3,1,piracaia
moveis_decoracao,5,1,sao paulo
moveis_decoracao,5,2,sao paulo
moveis_decoracao,5,3,sao paulo
relogios_presentes,5,1,sao paulo
malas_acessorios,5,1,santa vitoria
moveis_decoracao,5,1,campinas
esporte_lazer,5,1,fortaleza
beleza_saude,2,1,passo fundo
eletrodomesticos_2,4,1,resende
moveis_decoracao,5,1,estancia velha
moveis_decoracao,5,2,estancia velha
moveis_decoracao,5,3,estancia velha
moveis_decoracao,5,4,estancia velha
cama_mesa_banho,3,1,pirapora
bebes,1,1,louveira
automotivo,1,1,fortaleza
cama_mesa_banho,4,1,alfredo vasconcelos
beleza_saude,5,1,sao caetano do sul
eletronicos,5,1,mogi mirim
